cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,          udm-x,           udm-y
4024,0.425,0.565,0.005,0.4733424562,-0.1451534726,-0.7660085275,-0.3895602371,-0.3673130617,6233.985771,-7693.792941,-3284.796512,5358.417464
4025,0.415,0.565,0.005,0.5510163815,-0.3385158223,-0.9292564282,-0.5978715124,-0.6718954014,12745.80872,-10173.77049,-5719.22781,5675.24214
4026,0.405,0.565,0.005,0.3868382698,-0.1795288302,-1.292083152,-0.5084109654,-0.8102051204,4312.21535,-3855.060694,-2635.901536,3862.122347
4027,0.385,0.555,0.005,0.0180517954,-0.177264357,-1.499081956,0.0256098363,0.5197519475,-90.66482367,1923.380041,40.04396759,398.4839969
4028,0.395,0.565,0.005,0.069805591,-0.1253505598,-1.472453089,-0.020848071,-0.3287932956,-110.2743818,1568.803112,70.95826052,776.5567163
4029,0.495,0.565,0.005,0.3240998005,0.5465732645,-0.5605651167,0.8228385951,0.4340690601,-2570.765099,-6833.130244,1743.418621,6276.805491
4030,0.485,0.575,0.005,0.411207614,0.4556465903,-0.5404858016,0.6195830506,0.3528318229,-2949.3152,-13654.71401,1739.142209,9476.881375
4031,0.475,0.575,0.005,0.4219034215,0.3727920662,-0.5689897889,0.4777971428,0.2194211878,-1984.048317,-12456.98643,1147.996175,8619.514555
4032,0.465,0.575,0.005,0.4355976313,0.2827740693,-0.5956608487,0.3248330772,0.1062158736,-858.087056,-11908.7125,485.7854677,8106.741674
4033,0.455,0.575,0.005,0.4532736042,0.1938780177,-0.6238268534,0.1867283592,-0.0065076504,166.0741959,-11702.85385,-89.66430828,7741.838233
4034,0.445,0.575,0.005,0.4790177621,0.1035093131,-0.6638941174,0.061307064,-0.1475314358,1157.488448,-11699.37095,-602.7677698,7375.123085
4035,0.435,0.575,0.005,0.5034566235,-0.001598803,-0.7282054098,-0.10195349,-0.2920696083,3307.572378,-11899.66006,-1640.864669,7131.105168
4036,0.425,0.575,0.005,0.5462859716,-0.1321555267,-0.8592600211,-0.2797006112,-0.5128426065,6970.086506,-13895.46715,-3160.138651,7419.610523
4037,0.415,0.575,0.005,0.512242552,-0.1764243929,-1.099805423,-0.3381015835,-0.7680233834,5568.802374,-8947.65494,-2706.312464,5553.695403
4038,0.405,0.575,0.005,0.18505013,-0.104422128,-1.342552216,-0.0177085927,-0.6346264009,-240.9592396,636.1920091,179.4538246,1465.053808
4039,0.395,0.575,0.005,0.0554893771,-0.1210583239,-1.321883918,0.2916916145,0.239476553,-330.5951732,1396.481765,246.9668456,934.2321693
4040,0.495,0.575,0.005,0.4086175298,0.523350507,-0.5172447625,0.7288294496,0.4650611987,-3725.774281,-15425.12351,2210.724066,10568.51569
4041,0.485,0.585,0.005,0.4023275498,0.3174870767,-0.6768085261,0.4904205237,0.0513222416,-2741.333468,-9105.076135,1637.828028,6896.022717
